City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,gadzhiyevo,69.2551,33.3362,33.49,84,100,16.26,RU,1715401565
84,bredasdorp,-34.5322,20.0403,52.45,77,9,7.23,ZA,1715401566
85,kerikeri,-35.2268,173.9474,60.91,59,17,5.99,NZ,1715401566
86,hamilton,39.1834,-84.5333,56.77,80,100,4.61,US,1715401383
87,puerto baquerizo moreno,-0.9,-89.6,73.53,89,88,6.51,EC,1715401567
88,port lincoln,-34.7333,135.8667,63.3,63,78,6.15,AU,1715401567
89,khorixas,-20.3667,14.9667,68.34,42,4,4.23,NA,1715401568
90,tocopilla,-22.092,-70.1979,63.45,82,24,10.74,CL,1715401568
91,noosa heads,-26.3833,153.15,75.11,72,7,9.93,AU,1715401568
92,port mathurin,-19.6833,63.4167,77.83,79,21,23.87,MU,1715401569
93,kailahun,8.2833,-10.5667,71.33,99,100,1.16,SL,1715401569
94,gaigeturi,33.4644,126.3183,75.25,50,0,20.71,KR,1715401570
95,san kamphaeng,18.7449,99.1195,95.0,52,1,3.31,TH,1715401570
96,papao,-17.75,-149.55,83.88,79,7,14.07,PF,1715401571
97,birjand,32.8663,59.2211,66.67,34,0,4.61,IR,1715401571
98,wassertrudingen,49.05,10.6,51.87,83,69,2.91,DE,1715401571
99,usogorsk,63.4106,48.6872,27.66,87,56,6.49,RU,1715401572
100,adigrat,14.277,39.462,62.04,67,90,4.83,ET,1715401572
101,mount isa,-20.7333,139.5,80.37,54,40,8.05,AU,1715401573
102,kununurra,-15.7667,128.7333,89.58,45,40,10.36,AU,1715401573
103,waingapu,-9.6567,120.2641,86.36,67,56,15.77,ID,1715401574
104,lamu,-2.2717,40.902,79.05,86,80,13.22,KE,1715401574
105,chonchi,-42.6128,-73.8092,37.11,95,27,1.1,CL,1715401574
106,tiksi,71.6872,128.8694,27.39,91,100,9.53,RU,1715401575
107,wendouree,-37.55,143.8333,57.47,83,98,3.0,AU,1715401575
108,taraclia,45.9,28.6689,53.73,51,14,5.57,MD,1715401576
109,ancud,-41.8697,-73.8203,44.53,91,85,6.53,CL,1715401576
110,rosso,16.4986,-15.8153,73.94,51,47,11.23,SN,1715401577
111,eydhafushi,5.1033,73.0708,85.19,75,92,8.25,MV,1715401577
112,amga,60.8953,131.9608,44.65,32,90,4.38,RU,1715401578
113,udachny,66.4167,112.4,19.45,88,100,1.83,RU,1715401578
114,panjab,34.388,67.0233,49.66,32,0,12.12,AF,1715401579
115,likiep,9.8251,169.3107,81.79,80,100,17.02,MH,1715401579
116,al mindak,20.1588,41.2834,67.6,59,1,1.05,SA,1715401579
117,haiku-pauwela,20.9219,-156.3051,74.05,90,75,6.91,US,1715401580
118,mermoz boabab,14.7065,-17.4758,72.16,86,6,10.2,SN,1715401581
119,kourou,5.1552,-52.6478,77.05,95,98,3.6,GF,1715401581
120,recani,31.2846,-4.2688,76.05,18,100,6.42,MA,1715401581
121,al hazm,16.1641,44.7769,76.41,57,98,3.27,YE,1715401582
122,iqaluit,63.7506,-68.5145,31.73,93,100,11.5,CA,1715401582
123,colonia,50.9333,6.95,55.17,86,0,2.3,DE,1715401342
124,ushuaia,-54.8,-68.3,37.06,70,0,13.8,AR,1715401583
125,fort st. john,56.2499,-120.8529,60.69,31,20,20.71,CA,1715401583
126,melilla,35.2937,-2.9383,64.78,82,100,8.05,ES,1715401584
127,ilhabela,-23.7781,-45.3581,72.7,94,83,4.9,BR,1715401584
128,longyearbyen,78.2186,15.6401,31.84,69,75,24.16,SJ,1715401585
129,kimbe,-5.5502,150.1429,85.42,81,87,3.06,PG,1715401585
130,nova vicosa,-17.8919,-39.3719,76.48,82,6,4.29,BR,1715401585
131,petoskey,45.3733,-84.9553,51.49,81,100,5.75,US,1715401586
132,bam,29.106,58.357,76.32,15,0,14.56,IR,1715401586
133,juneau,58.3019,-134.4197,48.2,84,75,6.91,US,1715401494
134,augusta,48.3667,10.8833,45.01,93,35,1.14,DE,1715401587
135,arno,60.1167,18.6333,39.78,63,100,5.21,SE,1715401587
136,itaituba,-4.2761,-55.9836,75.65,98,61,2.06,BR,1715401588
137,keflavik,64.0049,-22.5624,45.03,100,100,9.22,IS,1715401588
138,thompson,55.7435,-97.8558,48.36,66,75,0.0,CA,1715401589
139,pacific grove,36.6177,-121.9166,59.65,86,0,11.01,US,1715401589
140,viedma,-40.8135,-62.9967,45.12,89,2,6.35,AR,1715401589
